iter	Passed	Remaining
0	150	150041
1	156	77857
2	161	53631
3	168	42053
4	175	34836
5	180	29955
6	187	26627
7	193	24054
8	200	22090
9	240	23809
10	253	22821
11	259	21360
12	269	20433
13	274	19353
14	279	18376
15	289	17828
16	294	17045
17	305	16688
18	310	16035
19	323	15832
20	331	15450
21	337	14987
22	342	14530
23	353	14393
24	371	14471
25	383	14350
26	388	13994
27	398	13844
28	404	13537
29	414	13405
30	424	13270
31	430	13027
32	439	12874
33	444	12640
34	450	12428
35	460	12338
36	466	12145
37	474	12012
38	483	11906
39	490	11766
40	499	11672
41	505	11536
42	514	11461
43	520	11319
44	529	11246
45	536	11120
46	541	10975
47	548	10886
48	558	10834
49	563	10706
50	571	10643
51	578	10554
52	583	10429
53	590	10337
54	594	10221
55	604	10197
56	609	10084
57	619	10063
58	624	9962
59	634	9946
60	639	9851
61	651	9855
62	656	9762
63	666	9752
64	671	9665
65	681	9639
66	686	9559
67	695	9530
68	700	9449
69	709	9425
70	715	9356
71	723	9323
72	728	9255
73	733	9181
74	744	9178
75	753	9166
76	759	9101
77	764	9038
78	774	9025
79	779	8961
80	792	8989
81	800	8964
82	835	9228
83	839	9159
84	844	9088
85	853	9069
86	858	9005
87	867	8989
88	871	8924
89	881	8908
90	886	8852
91	891	8798
92	901	8787
93	908	8751
94	913	8705
95	927	8737
96	933	8693
97	943	8688
98	949	8641
99	960	8640
100	965	8589
101	977	8602
102	989	8613
103	994	8566
104	1071	9132
105	1078	9097
106	1087	9079
107	1093	9030
108	1098	8976
109	1107	8957
110	1112	8908
111	1121	8890
112	1126	8846
113	1134	8818
114	1141	8781
115	1150	8770
116	1156	8727
117	1165	8708
118	1170	8665
119	1174	8616
120	1185	8612
121	1189	8562
122	1198	8548
123	1203	8499
124	1211	8479
125	1216	8440
126	1221	8394
127	1230	8380
128	1234	8335
129	1243	8322
130	1248	8284
131	1253	8241
132	1266	8253
133	1275	8243
134	1282	8216
135	1292	8209
136	1296	8170
137	1305	8156
138	1311	8121
139	1315	8082
140	1326	8079
141	1331	8045
142	1341	8042
143	1346	8005
144	1355	7994
145	1360	7958
146	1369	7945
147	1373	7908
148	1378	7875
149	1387	7864
150	1392	7829
151	1401	7816
152	1405	7782
153	1410	7749
154	1421	7751
155	1426	7716
156	1436	7711
157	1440	7676
158	1450	7670
159	1454	7636
160	1462	7622
161	1468	7595
162	1472	7562
163	1481	7553
164	1486	7523
165	1496	7518
166	1501	7487
167	1514	7499
168	1519	7470
169	1528	7463
170	1533	7432
171	1543	7428
172	1547	7397
173	1556	7388
174	1561	7362
175	1566	7335
176	1577	7332
177	1582	7307
178	1591	7301
179	1596	7273
180	1605	7264
181	1609	7235
182	1618	7225
183	1623	7199
184	1628	7175
185	1637	7166
186	1643	7143
187	1651	7133
188	1656	7107
189	1664	7096
190	1670	7075
191	1674	7048
192	1684	7042
193	1688	7017
194	1699	7014
195	1703	6988
196	1712	6981
197	1717	6957
198	1722	6932
199	1729	6917
200	1733	6892
201	1744	6891
202	1749	6867
203	1761	6873
204	1770	6865
205	1776	6845
206	1780	6822
207	1791	6819
208	1796	6797
209	1805	6793
210	1810	6769
211	1819	6763
212	1824	6739
213	1828	6716
214	1834	6698
215	1839	6677
216	1845	6657
217	1850	6636
