iter	RMSE
0	0.9983951815
1	0.9876296348
2	0.9782704227
3	0.9691548326
4	0.9605873728
5	0.9532954918
6	0.9472626872
7	0.940253261
8	0.9343378496
9	0.9287444581
10	0.9237646901
11	0.9189598505
12	0.9143231342
13	0.910267049
14	0.9064364308
15	0.9024395242
16	0.8985892274
17	0.894869316
18	0.8916024024
19	0.8881375737
20	0.8852766109
21	0.8829489465
22	0.8803996857
23	0.8779296875
24	0.8753045633
25	0.8729966568
26	0.8706134001
27	0.8688372274
28	0.8666760431
29	0.8648052565
30	0.8627289122
31	0.8607745364
32	0.8587813871
33	0.8569092079
34	0.8551646315
35	0.8535095594
36	0.852320799
37	0.8510709025
38	0.8497719288
39	0.8484968885
40	0.8473521357
41	0.8458011534
42	0.8445396874
43	0.8431371816
44	0.8419815153
45	0.8409418304
46	0.8393607804
47	0.8379848081
48	0.8365899828
49	0.8354241841
50	0.8347856801
51	0.8338019522
52	0.8327332447
53	0.8313248328
54	0.8303592406
55	0.829421655
56	0.8284847518
57	0.8275542521
58	0.8267310547
59	0.826070665
60	0.8253757264
61	0.8246111715
62	0.8240203745
63	0.823110093
64	0.822494617
65	0.8218360367
66	0.8211340534
67	0.8203040886
68	0.8194993796
69	0.8185567845
70	0.8180165678
71	0.8169776044
72	0.8165200746
73	0.815851333
74	0.8150468894
75	0.8139515213
76	0.8134342805
77	0.8126098654
78	0.8120653029
79	0.8115125959
80	0.8108642132
81	0.8100453837
82	0.8095304347
83	0.8088619061
84	0.8083873068
85	0.8077973201
86	0.8071818487
87	0.8067975262
88	0.8061060603
89	0.8053144927
90	0.8048839002
91	0.8043696098
92	0.8037115928
93	0.8025339762
94	0.8021340832
95	0.8014968431
96	0.8010439978
97	0.800518997
98	0.800158241
99	0.7993909419
100	0.7988824218
101	0.798419737
102	0.797703433
103	0.7971874566
104	0.7962792824
105	0.7958848245
106	0.7952849152
107	0.7948582048
108	0.79449518
109	0.7940741657
110	0.7932103145
111	0.7929426365
112	0.7923699321
113	0.7918160841
114	0.7908275913
115	0.7903514534
116	0.7899444772
117	0.7894136517
118	0.7888795915
119	0.7882942651
120	0.7874087713
121	0.7870357434
122	0.7865562354
123	0.7860558013
124	0.7857651335
125	0.7850596863
126	0.784701846
127	0.7841450022
128	0.7834119091
129	0.7830211531
130	0.7825851191
131	0.7821759227
132	0.781548434
133	0.781104915
134	0.7804337383
135	0.7796855884
136	0.7793250246
137	0.7790498531
138	0.7786425695
139	0.7782641761
140	0.7779616838
141	0.7776477234
142	0.7772049662
143	0.7761999906
144	0.7758643737
145	0.7754180553
146	0.7749096963
147	0.7746203154
148	0.7742334661
149	0.7735776016
150	0.7730450507
151	0.7727594672
152	0.7721020923
153	0.7714086122
154	0.7707390928
155	0.770367494
156	0.770028069
157	0.769698303
158	0.7693006387
159	0.768939887
160	0.7686310244
161	0.7678831409
162	0.7676351745
163	0.7673219524
164	0.7669577826
165	0.7663170975
166	0.7658733514
167	0.7656825347
168	0.7650904207
169	0.7647543019
170	0.7644861909
171	0.7642272355
172	0.763274656
173	0.7628346732
174	0.7624179538
175	0.7619631337
176	0.7615722631
177	0.760786538
178	0.7603790225
179	0.7597616019
180	0.7592039534
181	0.7588591322
182	0.7586406891
183	0.7584880622
184	0.7580315321
185	0.7574468562
186	0.757052807
187	0.7566082675
188	0.7559480502
189	0.7551914497
190	0.7544461704
191	0.7541570059
192	0.7534700074
193	0.7531255719
194	0.7526058295
195	0.7521924557
196	0.7518782557
197	0.7517198994
198	0.7513159067
199	0.7508808493
200	0.7505845355
201	0.7504394561
202	0.7502608525
203	0.7500456861
204	0.7494457775
205	0.7490087324
206	0.7487512908
207	0.7483300609
208	0.7479973818
209	0.747642301
210	0.7472141493
211	0.7465504301
212	0.7463264119
213	0.7462252988
214	0.7456466336
215	0.7453904148
216	0.7452401222
217	0.7447773766
218	0.7442610513
219	0.7436583492
220	0.7433674717
221	0.7430939327
222	0.7427988226
223	0.7424898113
224	0.7418985028
225	0.7415769106
226	0.7412648136
227	0.7407016784
228	0.7405820204
229	0.7402765986
230	0.7400179927
231	0.7398878054
232	0.7395117807
233	0.7392231961
234	0.7389625986
235	0.7385450815
236	0.7380761871
237	0.7377431052
238	0.7374218591
239	0.7369108177
240	0.7364357025
241	0.7361412098
242	0.7355844067
243	0.7353947026
244	0.7352719867
245	0.7350015153
246	0.7346388248
247	0.7343529341
248	0.7339111015
249	0.7335777441
250	0.7333168706
251	0.7327815472
252	0.7323037828
253	0.7319410052
254	0.73146799
255	0.7310493742
256	0.7306110443
257	0.7300421904
258	0.7297525921
259	0.7293377825
260	0.7289500645
261	0.7284613729
262	0.7280164027
263	0.7276663121
264	0.7271640593
265	0.7269106441
266	0.7266476369
267	0.7264854789
268	0.7259281811
269	0.7257082026
270	0.7254820387
271	0.7251140339
272	0.7246917647
273	0.7244585201
274	0.7239551345
275	0.7235244476
276	0.7232833353
277	0.7229098089
278	0.7225630362
279	0.7220642025
280	0.7216425292
281	0.7210778377
282	0.7206880744
283	0.7204107811
284	0.7201970578
285	0.7198649562
286	0.7198031611
287	0.7192988587
288	0.7189914568
289	0.7185879713
290	0.7183230165
291	0.7178870729
292	0.7175853103
293	0.7172297485
294	0.7168239157
295	0.716638738
296	0.7162550721
297	0.716117504
298	0.7156677627
299	0.7151930397
300	0.7146073415
301	0.7143686881
302	0.7139613717
303	0.7135714519
304	0.7133641626
305	0.7129566891
306	0.7126751836
307	0.7123671056
308	0.7119844658
309	0.7116390097
310	0.7111845407
311	0.7106052024
312	0.7104141441
313	0.7102068808
314	0.7100584616
315	0.7095036353
316	0.7092552771
317	0.7088700507
318	0.7086084511
319	0.7082693305
320	0.7080947114
321	0.7078218101
322	0.707448732
323	0.7072894051
324	0.7069732082
325	0.7066045876
326	0.7063666873
327	0.7061973054
328	0.7057901194
329	0.7053415949
330	0.7048634105
331	0.7043949776
332	0.7039441927
333	0.7035678553
334	0.7033408742
335	0.7031609967
336	0.7028452743
337	0.7026082586
338	0.702440766
339	0.7022543116
340	0.7018852385
341	0.7015432745
342	0.7013462938
343	0.7012393915
344	0.7009718858
345	0.7008930605
346	0.7005946577
347	0.7004177039
348	0.7000988369
349	0.6997989982
350	0.6994371903
351	0.699026385
352	0.6986869022
353	0.6983302546
354	0.698003117
355	0.6977199527
356	0.6974794329
357	0.697165476
358	0.6968506569
359	0.6963592624
360	0.6960915643
361	0.6957845951
362	0.6954423779
363	0.6951040563
364	0.6949250201
365	0.6944955406
366	0.6943007849
367	0.6940354561
368	0.6937559948
369	0.6935298819
370	0.6932224748
371	0.6929120514
372	0.6925734747
373	0.6920849392
374	0.6917144016
375	0.6912179489
376	0.6910418842
377	0.6908495515
378	0.6905058723
379	0.6903570545
380	0.6900704617
381	0.6897370787
382	0.6894126984
383	0.689113008
384	0.6888212152
385	0.6885233175
386	0.6882181398
387	0.6879296453
388	0.6875340202
389	0.6872572974
390	0.6870085922
391	0.6868050678
392	0.6864508253
393	0.6862599177
394	0.6859655021
395	0.6857839587
396	0.6855317794
397	0.6853960961
398	0.6849615333
399	0.6846233628
400	0.6843009883
401	0.6840511231
402	0.683751061
403	0.6836036828
404	0.6832598981
405	0.6829376318
406	0.6824970205
407	0.6823208296
408	0.682139016
409	0.6820199042
410	0.681864164
411	0.681558113
412	0.6813358033
413	0.6810021353
414	0.6807610343
415	0.6805420586
416	0.6802033866
417	0.6800880489
418	0.6798979974
419	0.679783323
420	0.679468275
421	0.679298668
422	0.6790310299
423	0.678933397
424	0.6787200053
425	0.6784337486
426	0.6781638572
427	0.677911238
428	0.6776639211
429	0.6774640088
430	0.6772864581
431	0.6768157142
432	0.6766217482
433	0.6764121024
434	0.6761111894
435	0.6760073934
436	0.6757726565
437	0.6755644528
438	0.6752760013
439	0.6749345256
440	0.6747587794
441	0.6744631343
442	0.6742587576
443	0.6741168814
444	0.6739230711
445	0.6737905867
446	0.6734688608
447	0.6732796609
448	0.672913169
449	0.6728235553
450	0.6725303899
451	0.6722235564
452	0.6719518326
453	0.6718584102
454	0.6715786045
455	0.6714862447
456	0.6711894709
457	0.6709074716
458	0.6708465372
459	0.6705243337
460	0.670270359
461	0.6699752333
462	0.6698072945
463	0.6696036378
464	0.6694284101
465	0.6693861183
466	0.6692250292
467	0.6690540063
468	0.6688294837
469	0.6686194324
470	0.6683323685
471	0.6679938203
472	0.6678391544
473	0.6675781442
474	0.6672027522
475	0.667036968
476	0.6668257503
477	0.6666796253
478	0.6664663645
479	0.6661605816
480	0.6659425142
481	0.6656067813
482	0.665373232
483	0.665094258
484	0.66482225
485	0.664521422
486	0.6643372283
487	0.6641107999
488	0.6638686256
489	0.663601868
490	0.6633719324
491	0.6631569752
492	0.6628427248
493	0.6626719088
494	0.6625164198
495	0.6622574516
496	0.662082999
497	0.6618637352
498	0.6616311505
499	0.6614663744
500	0.6612863277
501	0.6611964133
502	0.6609854362
503	0.6603555467
504	0.6601177651
505	0.6598929317
506	0.6597625151
507	0.6595088036
508	0.6593348336
509	0.6591207449
510	0.6588115028
511	0.6585563733
512	0.6581764204
513	0.6580460895
514	0.6577240473
515	0.6573940052
516	0.6570412654
517	0.6568308014
518	0.6566299747
519	0.656422759
520	0.6563795671
521	0.656079924
522	0.6558497598
523	0.6555899245
524	0.6553837003
525	0.6550696006
526	0.6549687656
527	0.6548262241
528	0.6546668657
529	0.6544653401
530	0.6543877975
531	0.6541547785
532	0.6539307795
533	0.6535210024
534	0.6532830872
535	0.6531016242
536	0.6527690999
537	0.6525094069
538	0.6522741317
539	0.6522339616
540	0.6520235434
541	0.6518699728
542	0.6516485291
543	0.6513558813
544	0.65092239
545	0.6506526266
546	0.6504096858
547	0.6502210057
548	0.650042537
549	0.6497033513
550	0.6494863993
551	0.649109191
552	0.6489516766
553	0.6487142232
554	0.6485069383
555	0.6484645952
556	0.6482583708
557	0.6480674178
558	0.6479019378
559	0.6475624769
560	0.647338107
561	0.6472973997
562	0.6471365442
563	0.6470075798
564	0.6468217942
565	0.6466775981
566	0.6463539914
567	0.6463032476
568	0.6461345668
569	0.6460107782
570	0.6457655772
571	0.6455772536
572	0.6454017816
573	0.6451055842
574	0.6449160676
575	0.6447046049
576	0.6443544415
577	0.644133993
578	0.6438743062
579	0.6436773457
580	0.6432848965
581	0.6429190691
582	0.6425659152
583	0.6424931286
584	0.6423183966
585	0.6420963084
586	0.6418269793
587	0.6415725815
588	0.6413601581
589	0.6412266015
590	0.6409457009
591	0.6406904505
592	0.6404139618
593	0.6401431271
594	0.6397968954
595	0.6395621065
596	0.6392872796
597	0.639099987
598	0.6389985005
599	0.6386298484
600	0.638497464
601	0.6382952437
602	0.6381145342
603	0.6379317519
604	0.6377241227
605	0.637547979
606	0.637339484
607	0.6369868814
608	0.6367760647
609	0.6367038525
610	0.6364565863
611	0.636150457
612	0.6359090825
613	0.6356288431
614	0.635338831
615	0.6351708215
616	0.6348266678
617	0.6345607874
618	0.6342545073
619	0.63407572
620	0.6338280413
621	0.6335875632
622	0.6332688566
623	0.6330805119
624	0.6328662215
625	0.632635018
626	0.6324179826
627	0.6321795432
628	0.6318670303
629	0.6316887613
630	0.6315574636
631	0.6312497415
632	0.6311429103
633	0.6309442614
634	0.6306394381
635	0.6304233453
636	0.6302343251
637	0.6299838679
638	0.6297139677
639	0.6295148868
640	0.6292321083
641	0.6290581729
642	0.6286120687
643	0.6285187003
644	0.6284378366
645	0.6283351395
646	0.6281038498
647	0.6280433811
648	0.6279866606
649	0.6278073317
650	0.6276424415
651	0.6274796002
652	0.6272634732
653	0.626996766
654	0.6267778467
655	0.6265474295
656	0.6263097932
657	0.6261784109
658	0.6259070124
659	0.6257415287
660	0.6255090344
661	0.6253157271
662	0.6251975726
663	0.6250460913
664	0.6248667135
665	0.6247127823
666	0.6246474793
667	0.624433715
668	0.624202589
669	0.6239853986
670	0.6238342902
671	0.62373494
672	0.6236741157
673	0.6235242621
674	0.6233328591
675	0.622976642
676	0.622754377
677	0.6225718825
678	0.6223273842
679	0.6221819719
680	0.621972213
681	0.621833061
682	0.62160435
683	0.6213438348
684	0.6210565669
685	0.6208630346
686	0.6206733764
687	0.6204567744
688	0.6202637055
689	0.6199293914
690	0.6197535752
691	0.6194716664
692	0.6192305403
693	0.6190720206
694	0.6188964689
695	0.6186953221
696	0.6183969284
697	0.618263499
698	0.6181241382
699	0.6179047681
700	0.6177665811
701	0.6174651371
702	0.6171419032
703	0.6168072255
704	0.616510066
705	0.6162240884
706	0.615959673
707	0.6158483807
708	0.6157718245
709	0.6156509736
710	0.6155431175
711	0.6153474587
712	0.6151264511
713	0.6149416712
714	0.614795295
