iter	Passed	Remaining
0	151	151373
1	157	78578
2	161	53755
3	166	41503
4	174	34633
5	181	30131
6	189	26869
7	197	24504
8	203	22360
9	209	20714
10	218	19634
11	225	18583
12	230	17537
13	240	16916
14	247	16242
15	254	15631
16	258	14971
17	267	14612
18	273	14131
19	287	14083
20	295	13790
21	303	13513
22	313	13316
23	321	13074
24	331	12909
25	340	12756
26	348	12555
27	356	12383
28	364	12214
29	373	12073
30	381	11917
31	392	11881
32	399	11706
33	410	11651
34	417	11516
35	426	11419
36	433	11292
37	441	11185
38	449	11075
39	457	10980
40	464	10874
41	474	10816
42	481	10714
43	492	10691
44	502	10655
45	507	10517
46	517	10496
47	523	10376
48	534	10371
49	540	10268
50	547	10192
51	553	10088
52	561	10025
53	569	9972
54	576	9913
55	584	9845
56	591	9793
57	598	9728
58	606	9672
59	611	9583
60	621	9571
61	627	9486
62	636	9467
63	641	9387
64	650	9360
65	656	9293
66	665	9268
67	671	9204
68	682	9211
69	687	9134
70	697	9129
71	702	9059
72	713	9061
73	718	8994
74	732	9028
75	739	8992
76	747	8954
77	752	8898
78	762	8885
79	769	8849
80	776	8814
81	783	8773
82	791	8742
83	796	8686
84	803	8648
85	808	8593
86	817	8582
87	823	8534
88	832	8524
89	838	8476
90	848	8472
91	854	8428
92	863	8423
93	869	8384
94	878	8369
95	884	8324
96	892	8310
97	897	8260
98	905	8242
99	912	8215
100	925	8241
101	934	8226
102	944	8221
103	959	8269
104	976	8325
105	989	8344
106	999	8345
107	1008	8326
108	1019	8331
109	1028	8320
110	1037	8305
111	1045	8286
112	1053	8272
113	1067	8293
114	1077	8291
115	1086	8283
116	1099	8294
117	1107	8281
118	1115	8258
119	1123	8240
120	1133	8235
121	1140	8205
122	1151	8212
123	1160	8197
124	1168	8182
125	1180	8186
126	1186	8154
127	1195	8145
128	1200	8104
129	1211	8108
130	1217	8076
131	1227	8072
132	1232	8034
133	1242	8028
134	1247	7990
135	1255	7975
136	1261	7946
137	1269	7931
138	1275	7900
139	1282	7879
140	1290	7859
141	1294	7824
142	1302	7806
143	1307	7774
144	1317	7766
145	1322	7735
146	1330	7721
147	1337	7699
148	1346	7691
149	1354	7676
150	1366	7681
151	1371	7652
152	1377	7626
